relative_path	role	bytes	upstream_git_blob_sha1	sha256
README.md	documentation_or_split	1320	c99e4830deb4b3aabd32e5a7dd32a3e7297cfb7e	e1f78e060940e5c56ea206267d4beed1bff50b3b948e8af15ee230cc5b8abfb8
annotations/001_annotation.png	annotation	31841	a1f203dde02b1e9bf7fe4e08da8a8c2057b7729e	b5af8997c49b5039aca75d4a039e3491f97e9cb2400ea1a472ae329001298a9c
annotations/001_annotation.yaml	annotation	4098	e48c8199bd40baccf3968201deca05296c05ed4c	4787095f6a95cdbe7764fa9839e8d413837191be42f4ee274d5032228db1d0f2
annotations/002_annotation.png	annotation	24161	76e2baba078f2c3dbb6a776ce4a34cd76cc74751	a6106c2e5c142355b3879fd605497b349c6d15535da8884751e8713f3d083561
annotations/002_annotation.yaml	annotation	2017	a2555c924947d59a6f1e9f1900065ca88463ddfa	716791701a11644eed001d1f01ffd97a383a07a4bebee8156a36d7207b6f958a
annotations/003_annotation.png	annotation	16667	8ba3fe8cd58d90366128e52ed22c4eacb091e90e	c1893fc214ea0da546e6e8fde1827dad3a104ef9911623353b1ca67bbcf7eb8e
annotations/003_annotation.yaml	annotation	1110	0a927c51ac246c428adfc79b94f898ecc3ac626f	eb5eea1267697715f0c492cef6d7c014dc3aaf3232e3077e87253fb14544ade2
annotations/004_annotation.png	annotation	24865	d1e51c842e59a69eb7a6536924f62b1cecd7f67c	e5374ff566ce7171ad277fcf2bc42295e4b6976cece7fd823abdb4617af90479
annotations/004_annotation.yaml	annotation	2281	a6529b8ed07c9dee7eed37521168951df107b033	e35d0ea257c39ac03ade7d3a2bf5abe1934474a81e9465baf03492a5c491ec08
annotations/005_annotation.png	annotation	10895	64e8cfbbc114736c78ad9dbfe0d2449a0bb334c8	8721c622fd3f77cf1e9523222aa037016812a512cdb129a815eb1ff3a387b0c6
annotations/005_annotation.yaml	annotation	834	d39f0bcabaa88df6f0a67a8c8c79136c497a9f2e	dc80150a8322cdb72195f62678963815f97ead79d639c417f218a1e029d7937b
annotations/006_annotation.png	annotation	19042	29858fed00fea45557ac65b961947d3320c18419	09c2daf434190b91cb8f3ea2dac4fb67b23749da3d1330fa9284e0c28fce851c
annotations/006_annotation.yaml	annotation	1760	6248ba87c67daa912a7f862725fbbe569e468397	0b32de57cea3e9bdbd75622111df7d849b5fdf9f08aad7eb15c431b150c55408
annotations/007_annotation.png	annotation	31613	27cae7c61ac6d89b2880e168578d613113bba24a	bf7caf8982cd99f2e3eb578e87b8395d4cac1dec94a1aaa8b1c51d86b4035e6d
annotations/007_annotation.yaml	annotation	3731	ae877a12a1fae4f047cc855e7ec5376fb1c9ac26	56b519aa3c23a44abd00500f954f962f07bf7d846e8b9359c30b14464ef370b0
annotations/008_annotation.png	annotation	20426	327d24eb089d6cff5b1185bffaf26ecadb772b9f	9b61b153336d7537eea0c57ddf409bb47943554f3a6f6362463d263cfd603c4b
annotations/008_annotation.yaml	annotation	1921	30f71869c0e4c905692be284c96481da88ee082e	4efc9cd73b3295550b8e8df18b7f0f8b67a368afc67a44ce0c2d1d859871b305
annotations/009_annotation.png	annotation	20021	01087e6dbba1da22ca9fc5163de11733376150bb	7811fbf95fd45200ae6bc5165a0a191d3c8d453e64b3cfef44c820d59bff5ef5
annotations/009_annotation.yaml	annotation	2170	fe6d9fdd88d3a0bb768e6f2efd4f7aa1ef905feb	63797059085cf2ef4b26be833c730b0e4501ed1afd458bd5cc4f6bf873709aed
annotations/010_annotation.png	annotation	18726	a30bc0f3c529bd394e81d62c355f1a61e44964a5	2b6885c7082ca221138417e65ffc6d9f2cf4933dbe671a49bc09f8abadc92a42
annotations/010_annotation.yaml	annotation	1826	20be782631aaccdc06b8a10fb509b6a9962f337c	b22c66c4274a33abc749794cd234ba7f8e09aeac326ff7674ab27101e0966dd2
annotations/011_annotation.png	annotation	19193	797cc2455ed6fd69cc7b713c8c8095dc9d26e6f4	ec865386c7bae9a135da76dfdaaa47bc583ef1afacaaea37601e32e16428318d
annotations/011_annotation.yaml	annotation	1785	25ec67af040a562a00f5b67359e2c04b76805a08	793ec42f4f2d2af1322560e8accab17c4255f0e542c389490e923c944666b1aa
annotations/012_annotation.png	annotation	9685	e2bde27689cf77270287a791c8a10a8326dd63e4	cbb7e324cd7c08797950e81655da2be617a1bb54247b09530517fbff864cb929
annotations/012_annotation.yaml	annotation	723	76de7fe03c172e1735ee0d4cc13d336f430a1b0d	1687bad6dc3d4ecce86413792f72918895e24d1db22ebb742c7afebbcb87c498
annotations/013_annotation.png	annotation	17702	0cd5e4136eb46c9f7ebb255ef1a00f4c867d3a8a	e661759046a87824f09dc3fba7a60f59ce15d8ca35e7346f9dad9d0316affa21
annotations/013_annotation.yaml	annotation	2146	18b77a23d3a9c8c75af0ad2ef761f8f78500a9e6	f4b375bbbaf07d9cdea5d6be0da7c085d5230755249424f133b661c15bec0027
annotations/014_annotation.png	annotation	11886	f4d1a966637e03fd1517ce7cd8e169127011f7d8	d46584102148c026c823be2217865a0d71e45a4dbe4d10f4a8b34f449091f5fa
annotations/014_annotation.yaml	annotation	879	b67159fa74a3d0bae6fec087a9ff96abf55bd92a	d1b6ff26b10ba5baf0d71c2672837e7b1672c564364ff15e944f610bfe981334
annotations/015_annotation.png	annotation	12074	9c82e440e2e154a36f1ad07a2610a0175f73f2d4	57c5f34efd7763dce651a6f8f82f854b237906f7a86d5250c9ffe14a075b026a
annotations/015_annotation.yaml	annotation	866	cd035ecbcbd966e63c384a233d1831f346652229	2d0ccc49cf2a1eef7e8f4ef625ac15597bf11dd54983fa10faf619284e19a7ed
annotations/016_annotation.png	annotation	20634	ea16f2115665bb99c9dc6bf58bb6c2a30d465f63	5350bca589c2d8d4153a319eb0d73bbe5f2804dcb552e8239c0fac9352781edf
annotations/016_annotation.yaml	annotation	2739	b2b0fdd7a2b9845d0646f2dfd3ec34bfc4cb0d09	4bcb9dff3667bf459812d8f91d608e4122aee2897fff76475452c55d8d037a13
annotations/017_annotation.png	annotation	12934	cabe45915879e2455c26af23e477f94593bf0ef5	2af9395e15f12e238e7924dfd11198131cf90cea1caa9e12e93eaa36b0632c96
annotations/017_annotation.yaml	annotation	1779	db503528113ec7a9857949fe96b014f1c2a583b3	337f85083e71d26859d1aa0ae1b08cef84b80fb4ea62f038423c11bc9a270b08
annotations/018_annotation.png	annotation	15897	5cbbd05a63a9884f84564dae7138565250aff77b	104f49ca6be518aadbbe3149fa99793f0d3f9e86bf6ef03617c386d3958a9628
annotations/018_annotation.yaml	annotation	1840	dd62e42d8725ae71966093df50a7154d175b03f8	6713f765b77d0615ab744a376551c7c838f275a49439d1f19d909f7a32afd1cf
annotations/019_annotation.png	annotation	12368	d3d3ba5b5cec8c19a47ea76229492384a8df6477	02ca4d3441fb0b661d0169df6de117d9d60499e9076d42290ecede2b3b28b0c4
annotations/019_annotation.yaml	annotation	1273	4f1158f46e82e99a0383083657568e41d5632a73	c07555ce9c2c05e897794c37963179461d3099c97b2955f0256be3233ed52a77
annotations/020_annotation.png	annotation	8376	31bff031bb0e927f653d7166abf0c8feac84658a	71049491d3fd3dbdfc0508964fd7f32547f99ae3fad7cde36540f1c582c2e952
